Month,Variable,NaN_Count
01,lat,0
01,lon,0
01,time,0
01,avg_2m_temperature,0
01,max_2m_temperature,0
01,min_2m_temperature,0
01,median_2m_temperature,0
01,p25_2m_temperature,0
01,p75_2m_temperature,0
01,prcp_total,0
01,avg_10m_u_component_of_wind,0
01,max_10m_u_component_of_wind,0
01,min_10m_u_component_of_wind,0
01,median_10m_u_component_of_wind,0
01,p25_10m_u_component_of_wind,0
01,p75_10m_u_component_of_wind,0
01,avg_10m_v_component_of_wind,0
01,max_10m_v_component_of_wind,0
01,min_10m_v_component_of_wind,0
01,median_10m_v_component_of_wind,0
01,p25_10m_v_component_of_wind,0
01,p75_10m_v_component_of_wind,0
01,avg_lake_shape_factor,0
01,max_lake_shape_factor,0
01,min_lake_shape_factor,0
01,median_lake_shape_factor,0
01,p25_lake_shape_factor,0
01,p75_lake_shape_factor,0
01,avg_leaf_area_index_low_vegetation,0
01,max_leaf_area_index_low_vegetation,0
01,min_leaf_area_index_low_vegetation,0
01,median_leaf_area_index_low_vegetation,0
01,p25_leaf_area_index_low_vegetation,0
01,p75_leaf_area_index_low_vegetation,0
01,avg_leaf_area_index_high_vegetation,0
01,max_leaf_area_index_high_vegetation,0
01,min_leaf_area_index_high_vegetation,0
01,median_leaf_area_index_high_vegetation,0
01,p25_leaf_area_index_high_vegetation,0
01,p75_leaf_area_index_high_vegetation,0
01,avg_surface_pressure,0
01,max_surface_pressure,0
01,min_surface_pressure,0
01,median_surface_pressure,0
01,p25_surface_pressure,0
01,p75_surface_pressure,0
02,lat,0
02,lon,0
02,time,0
02,avg_2m_temperature,0
02,max_2m_temperature,0
02,min_2m_temperature,0
02,median_2m_temperature,0
02,p25_2m_temperature,0
02,p75_2m_temperature,0
02,prcp_total,0
02,avg_10m_u_component_of_wind,0
02,max_10m_u_component_of_wind,0
02,min_10m_u_component_of_wind,0
02,median_10m_u_component_of_wind,0
02,p25_10m_u_component_of_wind,0
02,p75_10m_u_component_of_wind,0
02,avg_10m_v_component_of_wind,0
02,max_10m_v_component_of_wind,0
02,min_10m_v_component_of_wind,0
02,median_10m_v_component_of_wind,0
02,p25_10m_v_component_of_wind,0
02,p75_10m_v_component_of_wind,0
